"uniqueid","content","choices"
"JINGDONG|20160701114003|1589341|1654805389","不灵不灵不灵，脱发脱发","{\"default\": [1]}"
"JUMEI|20160119000000|14710|dea585a497fc5ed6e89678f33585233a","洗完脱发","{\"default\": [1]}"
"JUMEI|20160118000000|14710|ede0b0b075840d0f732000cb44f3195d","洗完脱发","{\"default\": [1]}"
"JUMEI|20160220000000|13191|33a9879d05e795c067ab0a8a8fbbd8d0","脱发","{\"default\": [1]}"
"JUMEI|20160103000000|14715|d51bb5e9850d0c76aa8b4e0075c38b76","脱发必备","{\"default\": [5]}"
"JUMEI|20160220000000|13194|33f2da7c1cede5aeee0fcf259da7642b","脱发","{\"default\": [1]}"
"JUMEI|20160221000000|13194|53d0ccbff1891be7120060bcba1ae19c","脱发","{\"default\": [5]}"
"JUMEI|20150805000000|13204|1cea521ef0c830056eaf5f65485e90cf","会脱发","{\"default\": [1]}"
"JINGDONG|20161110233712|1463431|2002031162","防脱发","{\"default\": [5]}"
"JUMEI|20160221000000|13191|33824577bb128338d883bcb208f3941d","脱发","{\"default\": [1]}"
"Tmall|20170802185257|17041512289|319201360836","用了脱发。。。。。","{\"default\": [1]}"
"JINGDONG|20161011193953|206690|1906158715","容易脱发！","{\"default\": [1]}"
"JINGDONG|20160923131733|2895504|1859235160","用了脱发。","{\"default\": [1]}"
"Tmall|20170311182413|525884925147|303449305484","假的，脱发","{\"default\": [1]}"
"SUNING|20160805000000|103305411|110948966","防脱发","{\"default\": [5]}"
"JUMEI|20150806000000|13204|08c72def96c7010ce23aeb22019a334c","会脱发","{\"default\": [1]}"
"JINGDONG|20160506085919|1989595|1505139775","用了脱发","{\"default\": [1]}"
"JINGDONG|20160322224809|1276431|1409686213","脱发少了","{\"default\": [5]}"
"JINGDONG|20161007233903|2131694|1895798896","脱发膏吗","{\"default\": [1]}"
"Tmall|20161119182801|532551479393|292478616128","太干，脱发","{\"default\": [1]}"
"JINGDONG|20170221075816|547774|10147757874","用起来脱发","{\"default\": [1]}"
"SUNING|20151126105600|126179011|78449485","还是会脱发","{\"default\": [1]}"
"JINGDONG|20161108053007|2385516|1989806849","脱发防不了","{\"default\": [1]}"
"JINGDONG|20161017002823|206750|1920114511","好，但脱发多，，，，，，，","{\"default\": [1]}"
"JUMEI|20161229000000|854374|08d0b7148aeafe9e4cc1a5d2b681c129","感觉会脱发","{\"default\": [1]}"
"JINGDONG|20161007233915|206786|1895799281","脱发膏吗","{\"default\": [1]}"
"Yihaodian|20131017152408|8393603|1382116018771","脱发有减少","{\"default\": [5]}"
"JUMEI|20160612000000|1721105|9b534bf9c27cf6bf6982f16a31829a80","不错，防脱发","{\"default\": [5]}"
"Tmall|20170703093608|13904476687|315974738977","超垃圾超垃圾，在这里买了洗发水导致头发整个脱发，大家千万不要买！！！假货！导致我脱发！！！脱发！！！！导致我脱发！！！脱发！！！！导致我脱发！！！脱发！！！！掉发！！！！！超垃圾超垃圾，在这里买了洗发水导致头发整个脱发，大家千万不要买！！！假货！导致我脱发！！！脱发！！！！导致我脱发！！！脱发！！！！导致我脱发！！！脱发！！！！掉发！！！！！超垃圾超垃圾，在这里买了洗发水导致头发整个脱发，大家千万不要买！！！假货！导致我脱发！！！脱发！！！！导致我脱发！！！脱发！！！！导致我脱发！！！脱发！！！！掉发！！！！！超垃圾超垃圾，在这里买了洗发水导致头发整个脱发，大家千万不要买！！！假货！导致我脱发！！！脱发！！！！导致我脱发！！！脱发！！！！导致我脱发！！！脱发！！！！掉发！！！！！","{\"default\": [1]}"
"JUMEI|20150328000000|75975|f27486c2fd801021b65785c929e39700","脱发有改善","{\"default\": [5]}"
"Tmall|20170716094818|547633771867|317288387164","好用不脱发","{\"default\": [5]}"
"JINGDONG|20161217120149|499051|2131783405","真的防脱发","{\"default\": [5]}"
"JUMEI|20150329000000|75975|36c8f6542725c9d1e6c0815bdea6cf75","脱发有改善","{\"default\": [5]}"
"JINGDONG|20161011152901|1174803|1905487386","脱发了咋整","{\"default\": [1]}"
"JINGDONG|20170721223703|499053|10636193281","防脱发有效，","{\"default\": [5]}"
"JINGDONG|20161002204816|1074707|1883109956","好用，脱发少","{\"default\": [5]}"
"JINGDONG|20161023080230|762514|1937064339","养发防脱发","{\"default\": [5]}"
"JINGDONG|20161110230725|1772638|2001935208","好用，放脱发，????","{\"default\": [5]}"
"JINGDONG|20170212202202|499053|10124143602","确实防脱发","{\"default\": [5]}"
"JINGDONG|20160608104917|1071738|1584726149","还好， 不脱发","{\"default\": [5]}"
"Tmall|20161123110453|527345371249|293086452076","脱发好多了","{\"default\": [5]}"
"Tmall|20170803081624|537505058878|319225158846","用了脱发，哭～","{\"default\": [1]}"
"JINGDONG|20161123063906|499053|2054091851","防脱发，防脱发，就是这个东东","{\"default\": [5]}"
"JINGDONG|20170705115130|3454451|10588869349","不安逸，本来不脱发，洗了来脱发严重。","{\"default\": [1]}"
"JINGDONG|20161009234201|206786|1901270313","用起来还是挺不错的，脱发脱发","{\"default\": [1]}"
"JINGDONG|20161103124358|762527|1971398896","不好用，脱发","{\"default\": [1]}"
"Tmall|20161225110834|528637285762|296635206306","以前脱发现在我用这个不脱发了","{\"default\": [5]}"
"Yihaodian|20160527001345|1354678|1500089585395","用了之后严重脱发，脱发太厉害了","{\"default\": [1]}"
"JINGDONG|20161215161836|1276400|2126369408","脱发以后都用这个，听说可以预防脱发","{\"default\": [3]}"
"JINGDONG|20161111220608|499053|2006398402","防脱发必备。","{\"default\": [5]}"
"JINGDONG|20170716151539|499053|10620839950","防脱发，还可以","{\"default\": [5]}"
"Tmall|20160927083628|522986449408|286293540975","让我脱发变严重","{\"default\": [1]}"
"JINGDONG|20170210212916|1276427|10119354180","无硅油以防脱发","{\"default\": [3]}"
"JINGDONG|20170618122017|1071738|10525422691","东西不错，防脱发","{\"default\": [5]}"
"Tmall|20160724193419|45764937503|280360263015","洗了有点脱发","{\"default\": [1]}"
"SUNING|20160317202938|102190410|93204369","不脱发了发货快","{\"default\": [5]}"
"Tmall|20170702000918|26742396413|315849714989","只这个不脱发","{\"default\": [5]}"
"JINGDONG|20151230230346|801065|1238612966","希望可以防脱发！","{\"default\": [3]}"
"SUNING|20131026000000|101822304|26178765","真的防脱发啊","{\"default\": [5]}"
"JUMEI|20161025000000|721516|65073798768a6954fe4710df6d9cad14","防止脱发很好用","{\"default\": [5]}"
"JINGDONG|20170609171826|3596590|10491493906","防脱发，好商品","{\"default\": [5]}"
"JINGDONG|20170226011545|499053|10162147253","用了脱发好多了","{\"default\": [5]}"
"JUMEI|20150122000000|16758|70c00e08eb211b7cebbf587677e126ac","脱发确实少了！","{\"default\": [5]}"
"JUMEI|20151017000000|721516|2a17d64c4fdd293a5303ddc7716eabeb","洗了有点脱发…","{\"default\": [1]}"
"Tmall|20150613162259|39201363632|244212598834","感觉用脱发了","{\"default\": [1]}"
"Tmall|20161212220203|526530671500|295332286203","希望可以防脱发","{\"default\": [3]}"
"JUMEI|20150128000000|75972|cc53a58278b6292783dda635a5362b5b","确实减少脱发了","{\"default\": [5]}"
"JINGDONG|20170531112639|499051|10458231183","就要买防脱发的","{\"default\": [5]}"
"JINGDONG|20170428104454|1174790|10351855477","好评，脱发少了","{\"default\": [5]}"
"JUMEI|20150308000000|75975|35de207affb49709487f631af934fd04","有改善脱发现象","{\"default\": [5]}"
"Yihaodian|20160629151252|58355686|1500094036585","用后脱发严重","{\"default\": [1]}"
"JINGDONG|20161102152346|2342326|1968134629","无硅油，拯救脱发","{\"default\": [5]}"
"JINGDONG|20170505182600|499053|10375319604","真的有助防脱发","{\"default\": [5]}"
"JINGDONG|20160831175552|499051|1800439839","防脱发效果好，","{\"default\": [5]}"
"Tmall|20161117204156|521099420854|292226250920","防脱发，希望有用","{\"default\": [3]}"
"Yihaodian|20150415162133|6794987|1500023761921","脱发必备，好便宜！","{\"default\": [5]}"
"JINGDONG|20160708002758|499053|1671077271","防脱发有点效果","{\"default\": [5]}"
"JINGDONG|20160921124551|499053|1853757434","希望能防脱发","{\"default\": [3]}"
"JINGDONG|20161029191710|2299418|1955866353","不好用，会脱发","{\"default\": [1]}"
"JINGDONG|20161014203058|499053|1914454484","防脱发效果明显。","{\"default\": [5]}"
"JUMEI|20151219000000|75972|1d8af679401f8c89274064c6b9ce13a9","没有放脱发啊","{\"default\": [1]}"
"JUMEI|20151111000000|1420213|3c186dfce05ae2170c5abdb90dfd3e58","脱发厉害，发干","{\"default\": [1]}"
"Tmall|20161126101741|521226971202|293208258449","对脱发有效果","{\"default\": [5]}"
"JUMEI|20150908000000|75966|a99d110765d793e0be069edcbd6f20e8","用了有点脱发。","{\"default\": [1]}"
"Tmall|20161122184929|532872414232|292913303949","都TA妈洗脱发了","{\"default\": [1]}"
"JUMEI|20160101000000|1721105|11d82df25b0765c7450f26a224b0b8ac","脱发，明显减少了","{\"default\": [5]}"
"JUMEI|20160130000000|721505|06a215a1811bd5c0d3301e560ddc308d","很好用，脱发少了","{\"default\": [5]}"
"Tmall|20161127090359|521206532812|293648413007","好像可以防脱发","{\"default\": [5]}"
"JUMEI|20151111000000|75970|e4c9d3d504422e189562d27bdb9e9a6f","脱发厉害！一般","{\"default\": [1]}"
"Tmall|20161123071312|521099420854|293091267843","防脱发有点效果","{\"default\": [5]}"
"Tmall|20170516212456|525493513897|310923254995","希望能制止脱发","{\"default\": [3]}"
"Tmall|20161225222337|12403905180|296934542012","很好，脱发好多了","{\"default\": [5]}"
"JINGDONG|20161101181046|627946|1965052459","感觉容易脱发","{\"default\": [1]}"
"JINGDONG|20170611094925|206786|10497075889","值得信赖，不脱发。","{\"default\": [5]}"
"JINGDONG|20161111115156|206700|2003570990","防脱发效果不错","{\"default\": [5]}"
"JINGDONG|20170616105559|1174803|10516871415","不知道防脱发吗","{\"default\": [3]}"
"Yihaodian|20150108133037|13842636|1500013571185","脱发真的有效","{\"default\": [5]}"
"Yihaodian|20160425003040|63817441|1500085660899","无硅油防脱发","{\"default\": [5]}"
"JINGDONG|20170620205236|1463416|10537856662","希望能抑制脱发","{\"default\": [3]}"
"JINGDONG|20161105232423|1071738|1981435696","防脱发洗发水","{\"default\": [3]}"
"JUMEI|20160129000000|721505|26b31e8597806b06b3ffc54ce4323870","很好用，脱发少了","{\"default\": [5]}"
"Tmall|20161024110934|521227335107|289413209662","防脱发特别好","{\"default\": [5]}"
"JINGDONG|20161102152430|2342324|1968137271","无硅油拯救脱发","{\"default\": [5]}"
"JINGDONG|20170602152321|2136227|10465848327","对脱发没有帮助","{\"default\": [1]}"
"JUMEI|20150909000000|75966|07650a937ddfa6820d4822ae05317cc7","用了有点脱发。","{\"default\": [1]}"
"SUNING|20131103164559|102647717|26423845","从此告别脱发。","{\"default\": [5]}"
"JUMEI|20161024000000|721516|52a5f1ece187ffbaf770242fd5e298ab","防止脱发很好用","{\"default\": [5]}"
"Tmall|20170626151215|521099420854|315372852696","感脱发有改善","{\"default\": [5]}"
"SUNING|20141229224230|101991651|48718293","希望可以防脱发","{\"default\": [3]}"
"JUMEI|20160620000000|385437|d58a0221cfe8cf1a3c07e611aad04edd","防脱发有效果","{\"default\": [5]}"
"Tmall|20160908003432|45629556887|284328056528","还是有点脱发","{\"default\": [1]}"
"Tmall|20160803192530|44317723946|281080324882","对脱发很有效","{\"default\": [5]}"
"Tmall|20161119210624|39607980574|292656554194","防脱发有效果","{\"default\": [5]}"
"JINGDONG|20161006133202|499051|1891573244","防脱发效果不错","{\"default\": [5]}"
"JINGDONG|20170113001611|1443181|10058778665","东西很好不脱发","{\"default\": [5]}"
"JUMEI|20150728000000|75989|0de0d4e5d1e41bdc6c174e7ed7a37e4c","只是用完脱发","{\"default\": [1]}"
"Tmall|20160814185821|527622577035|282135076781","防脱发效果不错！","{\"default\": [5]}"
"Tmall|20161119190652|538542548471|292521540648","希望能抑制脱发","{\"default\": [3]}"
"JINGDONG|20170308125815|3080225|10193348680","脱发问题好一些","{\"default\": [5]}"
"JINGDONG|20161005144938|2365288|1889245601","无硅油，减少脱发。。。。。。。。。。。。。。。","{\"default\": [5]}"
"JUMEI|20151224000000|75990|56f7075687e65a83e26ef5ad5eb11b97","用了反而会脱发","{\"default\": [1]}"
"SUNING|20140314141945|102544280|31790550","用后容易脱发","{\"default\": [1]}"
"Tmall|20161024222548|533651342627|289125846108","很好，脱发少了！","{\"default\": [5]}"
"JINGDONG|20170426201242|2857852|10347200611","治油发，脱发，挺好","{\"default\": [5]}"
"JINGDONG|20170606173530|547774|10480801340","防脱发给我吧","{\"default\": [5]}"
"SUNING|20151225121949|135403545|83202704","不会脱发严重","{\"default\": [5]}"
"Tmall|20161212201103|37904098180|295466137812","买买买，脱发最爱！","{\"default\": [5]}"
"SUNING|20150929123646|104675157|71076308","没感觉是防脱发","{\"default\": [1]}"
"JINGDONG|20160928152400|206692|1872838896","不错不脱发了","{\"default\": [5]}"
"JINGDONG|20161112233939|959950|2011720175","依然的脱发明显","{\"default\": [1]}"
"SUNING|20130912185920|102374192|25507470","非常好用防脱发。","{\"default\": [5]}"
"JUMEI|20151218000000|75972|8491ead91c55866583f277468128b1df","没有放脱发啊","{\"default\": [1]}"
"JUMEI|20150123000000|16758|00a841323710dc5581bbcd2619427b1a","脱发确实少了！","{\"default\": [5]}"
"JUMEI|20150309000000|75975|36d45ee55c0d47e4d998667856da1b33","有改善脱发现象","{\"default\": [5]}"
"SUNING|20140827000000|102328546|41089368","洗了容易脱发啊","{\"default\": [1]}"
"SUNING|20150928092812|104675157|70964068","防脱发效果一般","{\"default\": [1]}"
"JUMEI|20150729000000|75989|32104191cb45ef8fa691e5dad1ee5698","只是用完脱发","{\"default\": [1]}"
"JUMEI|20160619000000|385437|073e26bc82a3f744c1ac463eeb1e3526","防脱发有效果","{\"default\": [5]}"
"JINGDONG|20161226193828|2101489|10007848161","用了很会脱发","{\"default\": [1]}"
"Tmall|20160914143714|37927908303|285035402974","用了会不会脱发？","{\"default\": [3]}"
"JINGDONG|20170506091231|987401|10376664930","脱发解决了不少","{\"default\": [5]}"
"Tmall|20170118103100|533651342627|299554922750","脱发 但愿有用","{\"default\": [3]}"
"SUNING|20170225000000|102767506|142803297","不脱发 价格便宜","{\"default\": [5]}"
"JINGDONG|20160305110652|1276431|1368325436","无硅油，避免脱发","{\"default\": [5]}"
"JINGDONG|20150310005034|528474|600831570","好去油不脱发","{\"default\": [5]}"
"JINGDONG|20170708174653|1680529|10598456804","防脱发  不掉发","{\"default\": [5]}"
"JINGDONG|20161126222402|2002459|2067041288","有点防脱发效果","{\"default\": [5]}"
"Tmall|20170223124040|536927670731|302010327374","也没见少脱发","{\"default\": [1]}"
"Tmall|20161120175320|521241546320|292732004012","囤货，脱发有减少","{\"default\": [5]}"
"JINGDONG|20160608231727|1071746|1586623200","防脱发效果很好","{\"default\": [5]}"
"JUMEI|20150929000000|823430|6c50eec4ceba0f380ad2308c8c38b5ce","再不敢用了严重脱发，用后脱发持续两个月","{\"default\": [1]}"
"Tmall|20160916092320|535919066018|285379177992","希望能改善脱发","{\"default\": [3]}"
"JINGDONG|20170806084021|499053|10676932759","用了还是脱发","{\"default\": [5]}"
"JINGDONG|20160902185912|1185678|1805570893","不好用，脱发厉害","{\"default\": [1]}"
"JUMEI|20150930000000|823430|47437a9fca6ce2303427d24ad889876d","再不敢用了严重脱发，用后脱发持续两个月","{\"default\": [1]}"
"Tmall|20160914080602|527698104274|284858530334","死垃圾，洗脸脱发","{\"default\": [1]}"
"Tmall|20160731094633|44317723946|280751870970","防脱发很有效果。","{\"default\": [5]}"
"JINGDONG|20170615141418|206799|10513824148","便宜，正品，不脱发","{\"default\": [5]}"
"JINGDONG|20160907185048|499053|1818397304","凑到买的，防脱发，上岁数了，脱发比较严重","{\"default\": [3]}"
"JINGDONG|20170618121956|773205|10525420833","东西不错，防脱发","{\"default\": [5]}"
